frame,track_id_a,track_id_b,cost_px,status
53,5,1,237.0,rejected_too_far
53,9,2,298.7,rejected_too_far
53,19,5,50.8,matched
53,22,4,120.0,matched
54,5,1,233.3,rejected_too_far
54,9,2,299.3,rejected_too_far
54,19,5,57.2,matched
54,22,4,127.0,matched
55,5,1,220.8,rejected_too_far
55,9,2,289.9,rejected_too_far
55,19,5,61.3,matched
55,22,4,134.7,matched
56,5,1,213.5,rejected_too_far
56,9,2,277.7,rejected_too_far
56,19,5,75.0,matched
56,22,4,137.2,matched
57,5,1,209.7,rejected_too_far
57,9,2,266.3,rejected_too_far
57,19,5,93.9,matched
57,22,4,139.5,matched
58,5,1,204.6,rejected_too_far
58,9,2,262.4,rejected_too_far
58,19,5,107.3,matched
58,22,4,143.5,matched
59,5,4,28.6,matched
59,9,1,186.8,rejected_too_far
59,19,5,119.6,matched
59,28,2,57.8,matched
59,22,,,unmatched_a_extra
60,5,4,34.2,matched
60,9,1,175.8,rejected_too_far
60,19,5,136.7,matched
60,28,2,60.8,matched
60,22,,,unmatched_a_extra
61,5,4,28.1,matched
61,19,2,11.3,matched
61,28,1,9.5,matched
61,29,5,61.4,matched
61,9,,,unmatched_a_extra
61,22,,,unmatched_a_extra
62,5,4,19.9,matched
62,19,2,10.8,matched
62,28,1,8.6,matched
62,29,5,65.6,matched
62,9,,,unmatched_a_extra
62,22,,,unmatched_a_extra
63,5,4,18.4,matched
63,19,2,17.3,matched
63,28,1,8.1,matched
63,29,5,61.1,matched
63,9,,,unmatched_a_extra
63,22,,,unmatched_a_extra
64,5,4,18.7,matched
64,19,2,19.8,matched
64,28,1,8.3,matched
64,29,5,80.4,matched
64,9,,,unmatched_a_extra
64,22,,,unmatched_a_extra
65,5,4,19.4,matched
65,19,2,21.2,matched
65,28,1,8.0,matched
65,29,5,84.2,matched
65,9,,,unmatched_a_extra
65,22,,,unmatched_a_extra
66,5,4,10.1,matched
66,9,1,126.4,matched
66,19,2,15.9,matched
66,29,5,98.5,matched
66,22,,,unmatched_a_extra
67,5,4,6.4,matched
67,9,1,121.2,matched
67,19,2,14.7,matched
67,29,5,106.2,matched
67,22,,,unmatched_a_extra
68,5,4,4.9,matched
68,9,1,117.9,matched
68,19,2,14.3,matched
68,29,5,154.8,rejected_too_far
68,22,,,unmatched_a_extra
69,5,4,6.5,matched
69,9,1,107.4,matched
69,19,2,15.0,matched
69,29,5,189.1,rejected_too_far
69,22,,,unmatched_a_extra
70,5,4,1.9,matched
70,9,1,96.5,matched
70,19,2,17.1,matched
70,29,5,210.8,rejected_too_far
70,22,,,unmatched_a_extra
71,5,4,0.9,matched
71,9,1,90.2,matched
71,19,2,16.2,matched
71,22,,,unmatched_a_extra
71,29,,,unmatched_a_extra
72,5,4,7.8,matched
72,9,1,86.7,matched
72,19,2,15.6,matched
72,22,10,55.7,matched
72,29,,,unmatched_a_extra
73,5,4,17.4,matched
73,9,1,80.8,matched
73,19,2,14.1,matched
73,22,10,62.3,matched
73,29,,,unmatched_a_extra
74,5,4,11.6,matched
74,9,1,76.0,matched
74,19,2,13.9,matched
74,22,10,61.7,matched
74,29,,,unmatched_a_extra
75,5,1,39.8,matched
75,9,4,15.7,matched
75,19,2,14.1,matched
75,22,10,60.1,matched
75,29,,,unmatched_a_extra
76,5,1,25.7,matched
76,9,4,17.5,matched
76,19,2,15.8,matched
76,22,10,53.6,matched
76,29,,,unmatched_a_extra
77,5,1,18.9,matched
77,9,4,31.2,matched
77,19,2,15.9,matched
77,22,10,48.4,matched
77,29,,,unmatched_a_extra
78,5,4,19.6,matched
78,9,13,5.7,matched
78,19,2,14.5,matched
78,22,10,53.8,matched
78,29,,,unmatched_a_extra
78,30,,,unmatched_a_extra
79,5,4,24.2,matched
79,19,2,13.8,matched
79,22,10,47.0,matched
79,9,,,unmatched_a_extra
79,29,,,unmatched_a_extra
79,30,,,unmatched_a_extra
80,5,4,20.6,matched
80,9,1,34.0,matched
80,19,2,13.9,matched
80,22,10,35.6,matched
80,29,,,unmatched_a_extra
80,30,,,unmatched_a_extra
81,5,1,31.9,matched
81,19,2,13.7,matched
81,22,10,31.4,matched
81,9,,,unmatched_a_extra
81,29,,,unmatched_a_extra
81,30,,,unmatched_a_extra
82,5,4,5.9,matched
82,9,1,35.5,matched
82,19,2,13.2,matched
82,22,10,31.7,matched
82,29,15,276.9,rejected_too_far
82,30,,,unmatched_a_extra
83,5,4,21.4,matched
83,9,1,37.7,matched
83,19,2,12.1,matched
83,22,10,31.3,matched
83,29,15,253.2,rejected_too_far
83,30,,,unmatched_a_extra
84,5,4,26.6,matched
84,9,17,4.3,matched
84,19,1,63.6,matched
84,22,10,24.3,matched
84,29,15,232.1,rejected_too_far
84,30,2,49131.3,rejected_too_far
85,5,4,39.6,matched
85,9,1,53.4,matched
85,19,2,12.7,matched
85,22,10,11.8,matched
85,29,15,195.0,rejected_too_far
85,30,,,unmatched_a_extra
86,5,1,95.8,matched
86,9,4,4.2,matched
86,19,2,14.9,matched
86,22,10,13.3,matched
86,29,15,155.4,rejected_too_far
86,30,,,unmatched_a_extra
87,5,1,96.8,matched
87,9,4,4.9,matched
87,19,2,14.7,matched
87,22,10,18.2,matched
87,29,15,131.7,matched
87,30,,,unmatched_a_extra
88,9,1,75.4,matched
88,19,2,15.2,matched
88,22,10,20.6,matched
88,29,15,94.7,matched
88,5,,,unmatched_a_extra
88,30,,,unmatched_a_extra
89,5,20,2.9,matched
89,9,1,84.1,matched
89,19,2,15.3,matched
89,22,10,18.1,matched
89,29,15,101.2,matched
89,30,,,unmatched_a_extra
90,5,20,8.8,matched
90,9,1,92.3,matched
90,19,2,15.2,matched
90,22,10,12.5,matched
90,29,15,79.2,matched
90,30,,,unmatched_a_extra
91,5,20,12.5,matched
91,9,1,94.0,matched
91,19,2,14.4,matched
91,22,10,12.3,matched
91,29,15,69.4,matched
91,30,,,unmatched_a_extra
92,5,20,3.7,matched
92,9,1,93.9,matched
92,19,2,10.7,matched
92,22,10,13.4,matched
92,29,15,57.4,matched
92,30,,,unmatched_a_extra
93,5,20,49.3,matched
93,9,4,4.0,matched
93,19,2,8.7,matched
93,22,10,4.1,matched
93,29,15,47.1,matched
93,30,1,27464.0,rejected_too_far
94,5,20,10.1,matched
94,9,1,94.0,matched
94,19,2,8.8,matched
94,22,10,4.6,matched
94,29,15,41.9,matched
94,30,,,unmatched_a_extra
95,5,20,8.0,matched
95,9,1,90.1,matched
95,19,2,12.7,matched
95,22,10,3.5,matched
95,29,15,42.2,matched
95,30,,,unmatched_a_extra
96,5,20,14.5,matched
96,9,4,17.1,matched
96,19,1,65.9,matched
96,22,10,2.4,matched
96,29,15,32.2,matched
96,30,,,unmatched_a_extra
97,5,20,9.8,matched
97,9,4,12.8,matched
97,19,1,65.3,matched
97,22,10,2.1,matched
97,29,15,24.2,matched
97,30,,,unmatched_a_extra
98,5,20,9.6,matched
98,9,4,7.4,matched
98,19,2,7.5,matched
98,22,10,5.4,matched
98,29,15,21.9,matched
98,30,1,15098.1,rejected_too_far
99,5,20,11.9,matched
99,9,4,9.7,matched
99,19,2,9.7,matched
99,22,10,4.0,matched
99,29,15,15.8,matched
99,30,,,unmatched_a_extra
100,5,20,12.0,matched
100,9,4,12.5,matched
100,19,2,14.1,matched
100,22,1,55.1,matched
100,29,15,9.6,matched
100,30,,,unmatched_a_extra
101,5,20,8.8,matched
101,9,4,8.9,matched
101,19,2,16.9,matched
101,22,1,58.4,matched
101,29,15,10.1,matched
101,30,,,unmatched_a_extra
102,5,20,7.1,matched
102,9,4,7.5,matched
102,19,2,15.2,matched
102,22,1,60.7,matched
102,29,15,16.2,matched
102,30,,,unmatched_a_extra
103,5,20,3.8,matched
103,9,4,8.3,matched
103,19,1,40.8,matched
103,22,2,120.9,matched
103,30,15,9720.8,rejected_too_far
104,5,20,9.9,matched
104,9,4,6.9,matched
104,19,1,59.0,matched
104,22,2,118.8,matched
104,30,15,9405.3,rejected_too_far
105,5,20,8.1,matched
105,9,4,5.6,matched
105,19,1,70.6,matched
105,22,2,113.3,matched
105,30,15,8200.0,rejected_too_far
106,5,20,3.1,matched
106,9,4,7.1,matched
106,19,2,60.0,matched
106,22,17,8.2,matched
106,30,15,7670.3,rejected_too_far
106,33,1,79.6,matched
107,5,20,3.0,matched
107,9,4,6.3,matched
107,19,2,21.3,matched
107,22,17,9.2,matched
107,30,15,7232.0,rejected_too_far
107,33,1,85.3,matched
108,5,20,8.9,matched
108,9,4,7.4,matched
108,19,2,11.1,matched
108,22,17,8.0,matched
108,30,15,6764.5,rejected_too_far
108,,1,,unmatched_b_extra
109,5,20,9.1,matched
109,9,4,3.8,matched
109,19,2,14.7,matched
109,22,17,2.6,matched
109,30,15,6481.6,rejected_too_far
109,,1,,unmatched_b_extra
110,5,20,7.0,matched
110,9,4,7.2,matched
110,19,2,20.9,matched
110,22,17,8.3,matched
110,30,15,6352.5,rejected_too_far
110,,1,,unmatched_b_extra
111,5,20,5.7,matched
111,9,4,8.0,matched
111,19,2,23.3,matched
111,22,17,11.4,matched
111,30,15,6275.2,rejected_too_far
111,,1,,unmatched_b_extra
112,5,20,5.6,matched
112,9,4,7.5,matched
112,19,2,21.6,matched
112,22,17,10.9,matched
112,30,15,6065.9,rejected_too_far
112,36,1,141.9,matched
113,5,20,14.0,matched
113,9,4,8.8,matched
113,19,2,19.2,matched
113,22,17,10.5,matched
113,30,15,5709.9,rejected_too_far
113,36,1,157.7,rejected_too_far
114,5,20,19.3,matched
114,9,4,10.4,matched
114,19,2,16.7,matched
114,22,17,12.1,matched
114,30,15,5494.3,rejected_too_far
114,36,1,166.2,rejected_too_far
115,5,20,15.4,matched
115,9,4,8.1,matched
115,19,2,15.0,matched
115,22,1,88.4,matched
115,36,15,47.2,matched
115,30,,,unmatched_a_extra
115,37,,,unmatched_a_extra
116,5,20,7.4,matched
116,9,4,8.4,matched
116,19,2,19.2,matched
116,22,1,89.9,matched
116,36,15,52.6,matched
116,30,,,unmatched_a_extra
116,37,,,unmatched_a_extra
117,5,20,8.8,matched
117,9,4,10.8,matched
117,19,2,15.9,matched
117,22,1,94.3,matched
117,36,15,58.4,matched
117,30,,,unmatched_a_extra
117,37,,,unmatched_a_extra
118,5,20,13.6,matched
118,9,4,10.9,matched
118,19,2,14.0,matched
118,22,17,24.0,matched
118,36,1,202.7,rejected_too_far
118,37,15,58.6,matched
118,30,,,unmatched_a_extra
119,5,20,17.1,matched
119,9,4,9.1,matched
119,19,2,13.2,matched
119,22,17,20.2,matched
119,36,1,212.0,rejected_too_far
119,37,15,50.4,matched
119,30,,,unmatched_a_extra
120,5,20,14.3,matched
120,9,4,11.5,matched
120,19,2,12.7,matched
120,22,17,20.6,matched
120,36,1,224.7,rejected_too_far
120,37,15,44.1,matched
120,30,,,unmatched_a_extra
121,5,20,13.1,matched
121,9,4,10.5,matched
121,19,2,14.3,matched
121,22,17,23.9,matched
121,36,1,224.5,rejected_too_far
121,37,15,46.6,matched
121,30,,,unmatched_a_extra
122,5,20,19.8,matched
122,9,4,14.7,matched
122,19,2,15.5,matched
122,22,17,17.7,matched
122,36,1,229.1,rejected_too_far
122,37,15,55.6,matched
122,30,,,unmatched_a_extra
123,5,20,15.7,matched
123,9,4,15.7,matched
123,19,2,16.4,matched
123,22,17,21.5,matched
123,36,1,235.8,rejected_too_far
123,37,15,71.3,matched
123,30,,,unmatched_a_extra
124,5,20,12.5,matched
124,9,4,17.7,matched
124,19,2,13.2,matched
124,22,17,25.6,matched
124,36,1,238.8,rejected_too_far
124,37,15,82.4,matched
124,30,,,unmatched_a_extra
125,5,20,7.0,matched
125,9,4,14.1,matched
125,19,2,11.7,matched
125,22,17,26.1,matched
125,36,1,243.0,rejected_too_far
125,37,15,87.2,matched
125,30,,,unmatched_a_extra
126,5,20,9.4,matched
126,9,4,15.3,matched
126,19,2,10.7,matched
126,22,17,23.3,matched
126,36,15,81.0,matched
126,37,1,246.9,rejected_too_far
126,30,,,unmatched_a_extra
127,5,20,13.4,matched
127,9,4,7.6,matched
127,19,2,12.7,matched
127,22,17,17.2,matched
127,30,15,3358.1,rejected_too_far
127,36,27,45.1,matched
127,37,1,232.1,rejected_too_far
128,5,20,14.1,matched
128,9,4,3.3,matched
128,19,2,9.8,matched
128,22,17,19.1,matched
128,36,27,29.1,matched
128,37,1,223.2,rejected_too_far
128,30,,,unmatched_a_extra
129,5,20,11.9,matched
129,9,4,6.1,matched
129,19,2,9.1,matched
129,22,17,20.8,matched
129,36,27,13.2,matched
129,37,1,220.1,rejected_too_far
129,30,,,unmatched_a_extra
130,5,20,9.0,matched
130,9,4,6.9,matched
130,19,2,16.7,matched
130,22,17,22.2,matched
130,36,27,3.6,matched
130,30,,,unmatched_a_extra
131,5,20,11.3,matched
131,9,4,11.1,matched
131,19,2,17.7,matched
131,22,17,23.5,matched
131,36,27,29.8,matched
131,30,,,unmatched_a_extra
131,37,,,unmatched_a_extra
132,5,20,13.3,matched
132,9,4,13.8,matched
132,19,2,12.7,matched
132,22,17,24.6,matched
132,37,27,35.9,matched
132,30,,,unmatched_a_extra
132,36,,,unmatched_a_extra
132,38,,,unmatched_a_extra
133,5,20,14.0,matched
133,9,4,16.5,matched
133,19,2,12.0,matched
133,22,17,27.3,matched
133,37,27,27.3,matched
133,30,,,unmatched_a_extra
133,36,,,unmatched_a_extra
133,38,,,unmatched_a_extra
134,5,20,16.5,matched
134,9,4,18.3,matched
134,19,2,20.2,matched
134,22,17,29.4,matched
134,37,27,18.6,matched
134,30,,,unmatched_a_extra
134,36,,,unmatched_a_extra
134,38,,,unmatched_a_extra
135,5,20,15.5,matched
135,9,4,18.1,matched
135,19,2,24.4,matched
135,22,17,32.0,matched
135,37,27,20.9,matched
135,30,,,unmatched_a_extra
135,36,,,unmatched_a_extra
135,38,,,unmatched_a_extra
136,5,20,15.3,matched
136,9,4,15.1,matched
136,19,1,16.5,matched
136,22,17,29.8,matched
136,37,27,15.9,matched
136,30,,,unmatched_a_extra
136,36,,,unmatched_a_extra
136,38,,,unmatched_a_extra
137,5,20,15.9,matched
137,9,4,11.0,matched
137,19,1,14.3,matched
137,22,17,30.0,matched
137,37,27,12.2,matched
137,30,,,unmatched_a_extra
137,36,,,unmatched_a_extra
137,38,,,unmatched_a_extra
138,5,20,16.6,matched
138,9,4,12.2,matched
138,19,1,13.7,matched
138,22,17,31.4,matched
138,37,27,6.3,matched
138,30,,,unmatched_a_extra
138,36,,,unmatched_a_extra
138,38,,,unmatched_a_extra
139,5,20,18.1,matched
139,9,4,14.2,matched
139,19,1,15.0,matched
139,22,17,33.9,matched
139,36,2,274.7,rejected_too_far
139,37,27,8.2,matched
139,30,,,unmatched_a_extra
139,38,,,unmatched_a_extra
140,5,20,13.4,matched
140,9,4,15.2,matched
140,19,1,15.1,matched
140,22,17,34.7,matched
140,36,2,262.4,rejected_too_far
140,37,27,6.2,matched
140,30,,,unmatched_a_extra
140,38,,,unmatched_a_extra
141,5,20,16.5,matched
141,9,4,11.0,matched
141,19,1,18.1,matched
141,22,17,33.0,matched
141,37,27,10.1,matched
141,30,,,unmatched_a_extra
141,36,,,unmatched_a_extra
141,38,,,unmatched_a_extra
142,5,20,18.3,matched
142,9,4,12.3,matched
142,19,1,15.2,matched
142,22,17,31.8,matched
142,37,27,12.0,matched
142,30,,,unmatched_a_extra
142,36,,,unmatched_a_extra
142,38,,,unmatched_a_extra
143,5,20,13.0,matched
143,9,4,14.0,matched
143,19,1,11.0,matched
143,22,17,36.5,matched
143,37,27,8.6,matched
143,30,,,unmatched_a_extra
143,36,,,unmatched_a_extra
143,38,,,unmatched_a_extra
144,5,20,12.7,matched
144,9,4,16.2,matched
144,19,2,20.1,matched
144,22,17,38.4,matched
144,30,,,unmatched_a_extra
144,36,,,unmatched_a_extra
144,38,,,unmatched_a_extra
144,37,,,unmatched_a_extra
145,5,20,12.6,matched
145,9,4,13.5,matched
145,19,2,21.6,matched
145,22,17,37.9,matched
145,30,,,unmatched_a_extra
145,36,,,unmatched_a_extra
145,38,,,unmatched_a_extra
145,37,,,unmatched_a_extra
146,5,20,19.4,matched
146,9,4,14.3,matched
146,19,2,23.8,matched
146,22,17,34.7,matched
146,37,27,25.0,matched
146,30,,,unmatched_a_extra
146,36,,,unmatched_a_extra
146,38,,,unmatched_a_extra
147,5,20,28.0,matched
147,9,4,15.3,matched
147,19,2,19.5,matched
147,22,17,33.1,matched
147,37,27,19.5,matched
147,30,,,unmatched_a_extra
147,36,,,unmatched_a_extra
147,38,,,unmatched_a_extra
147,47,,,unmatched_a_extra
148,5,20,27.1,matched
148,9,4,16.6,matched
148,19,2,21.9,matched
148,22,17,30.4,matched
148,37,27,24.8,matched
148,30,,,unmatched_a_extra
148,36,,,unmatched_a_extra
148,38,,,unmatched_a_extra
148,47,,,unmatched_a_extra
149,5,20,19.9,matched
149,9,4,16.4,matched
149,19,2,23.9,matched
149,22,17,29.3,matched
149,37,27,18.1,matched
149,30,,,unmatched_a_extra
149,38,,,unmatched_a_extra
149,47,,,unmatched_a_extra
150,5,20,16.7,matched
150,9,4,13.4,matched
150,19,27,105.3,matched
150,22,17,28.6,matched
150,47,2,29.9,matched
150,30,,,unmatched_a_extra
150,38,,,unmatched_a_extra
150,48,,,unmatched_a_extra
151,5,20,16.9,matched
151,9,4,16.1,matched
151,19,27,133.5,matched
151,22,17,26.1,matched
151,47,2,35.4,matched
151,30,,,unmatched_a_extra
151,38,,,unmatched_a_extra
151,48,,,unmatched_a_extra
152,5,20,16.1,matched
152,9,4,23.2,matched
152,19,27,162.2,rejected_too_far
152,22,17,25.9,matched
152,47,2,34.9,matched
152,30,,,unmatched_a_extra
152,38,,,unmatched_a_extra
152,48,,,unmatched_a_extra
153,5,20,16.8,matched
153,9,4,20.3,matched
153,19,27,184.1,rejected_too_far
153,22,17,26.9,matched
153,47,2,35.7,matched
153,30,,,unmatched_a_extra
153,38,,,unmatched_a_extra
153,48,,,unmatched_a_extra
154,5,20,18.4,matched
154,9,4,19.7,matched
154,22,17,29.2,matched
154,38,2,126.8,matched
154,47,27,222.7,rejected_too_far
154,30,,,unmatched_a_extra
154,48,,,unmatched_a_extra
155,5,20,18.7,matched
155,9,4,16.0,matched
155,22,17,26.2,matched
155,47,2,35.4,matched
155,37,27,9.6,matched
155,30,,,unmatched_a_extra
155,38,,,unmatched_a_extra
155,48,,,unmatched_a_extra
156,5,20,22.4,matched
156,9,4,17.1,matched
156,22,17,38.1,matched
156,38,32,71.9,matched
156,47,2,37.2,matched
156,37,27,7.1,matched
156,30,,,unmatched_a_extra
156,48,,,unmatched_a_extra
157,5,20,23.0,matched
157,9,4,11.4,matched
157,22,17,39.5,matched
